target,codex_group,page_ref,errata_version_or_date,action,matched_stable_key,matched_source_id_or_name,status,errata_applied,change_summary,errata_text
Sun FF03,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,134,v1.2.1,Corrected,omens-sun-ff03,FF03,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The entry labelled ""FF03"" should instead be labelled ""FF04""."
Sun PV09,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,136,v1.0.0,Added,omens-sun-pv09,PV09,applied,True,"Replaced ""strike locations"" with ""strike zones"".","In the second sentence, the text incorrectly refers to ""strike locations"". It should instead refer to ""strike zones""."
Y2222,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.1.0,Added,,,manual_review,False,No matching record found.,"Recipe Yellow 2222
The entry's flavor text should read: ""Two rods end to end don't create anything useful, perhaps if you rotated one, or if you hardened one of the pieces over a fire to make it stronger...""."
Y3223,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.1.0,Added,,,manual_review,False,No matching record found.,"Recipe Yellow 3223
The entry's flavor text should read: ""Two rods side by side don't create anything useful, perhaps if you rotated one, or if you hardened one of the pieces over a fire to make it stronger...""."
R2332,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.1.0,Added,,,manual_review,False,No matching record found.,"Recipe Red 2332
The entry's flavor text should read: ""Two rods together don't create anything useful, perhaps if you rotated one, or if you hardened one of the pieces over a fire to make it stronger...""."
B2222,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.1.0,Added,,,manual_review,False,No matching record found.,"Recipe Blue 2222
The entry's flavor text should read: ""Two rods end to end don't create anything useful, perhaps if you rotated one, or if you hardened one of the pieces over a fire to make it stronger...""."
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,196,v1.3.0,Added,epoch-2-epoch-2,Epoch 2,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Beginning Epoch 2, Natural Migration
The second option (""Move to follow resources"") should begin ""If the caravan mark (see right) is on the primal cave wall..."""
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,196,v1.3.0,Added,epoch-2-epoch-2,Epoch 2,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Beginning Epoch 2, Natural Migration
The second option (""Move to follow resources"") should begin ""If the caravan mark (see right) is on the primal cave wall..."""
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,196,v1.1.0,Added,epoch-2-epoch-2,Epoch 2,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Beginning Epoch 2, Scavenging
This section should begin with a sentence that reads ""Gain the Scavenging (KN12) Knowledge card."""
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,196,v1.1.0,Added,epoch-2-epoch-2,Epoch 2,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Beginning Epoch 2, Scavenging
This section should begin with a sentence that reads ""Gain the Scavenging (KN12) Knowledge card."""
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,200,v1.3.0,Added,epoch-2-epoch-2,Epoch 2,applied,True,Prepended errata sentence/text.,"In the ""Effect"" section for the prophecy mark enclosing the cloud mark, add the following sentence: ""If one or more Volcanic Wastes hexes are in the valley, add <lore><lore><lore> at the start of the first game of the epoch instead of adding Smoke on the Horizon (CY02) to your looming challenges."""
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,200,v1.3.0,Added,epoch-2-epoch-2,Epoch 2,applied,True,Errata text already present.,"In the ""Effect"" section for the prophecy mark enclosing the cloud mark, add the following sentence: ""If one or more Volcanic Wastes hexes are in the valley, add <lore><lore><lore> at the start of the first game of the epoch instead of adding Smoke on the Horizon (CY02) to your looming challenges."""
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,201,v1.0.0,Added,epoch-2-epoch-2,Epoch 2,applied,True,Appended errata sentence/text.,"In the Effect section for the mystery mark, the following sentence should be added:
""Add NY01-03 to the Night deck, if able."""
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,201,v1.0.0,Added,epoch-2-epoch-2,Epoch 2,applied,True,Errata text already present.,"In the Effect section for the mystery mark, the following sentence should be added:
""Add NY01-03 to the Night deck, if able."""
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,202,v1.0.0,Added,epoch-2-epoch-2,Epoch 2,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The following mark should be found on this page, along with the following information.
Mark: Tangle
Effect: Something is changing in the great, twisting Tangle.
Looming Challenge: Sallow Leaves Fall (CN02)"
Epoch 2,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,202,v1.0.0,Added,epoch-2-epoch-2,Epoch 2,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The following mark should be found on this page, along with the following information.
Mark: Tangle
Effect: Something is changing in the great, twisting Tangle.
Looming Challenge: Sallow Leaves Fall (CN02)"
Epoch 3,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,207,v1.0.0,Added,epoch-3-epoch-3,Epoch 3,applied,True,Appended errata sentence/text.,"In the entry for the broken earth mark, the following sentence should be added:
""Add JE05 to the Journey deck, if able."""
Epoch 3,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,207,v1.0.0,Added,epoch-3-epoch-3,Epoch 3,applied,True,Errata text already present.,"In the entry for the broken earth mark, the following sentence should be added:
""Add JE05 to the Journey deck, if able."""
Epoch 3,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,207,v1.3.0,Added,epoch-3-epoch-3,Epoch 3,applied,True,Appended errata sentence/text.,"In the ""Effect"" section for the doom mark enclosing the coral mark, a sentence should exist that reads ""Replace Blooming Suspicion (CC01) with Permutation (CC02)""."
Epoch 3,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,207,v1.3.0,Added,epoch-3-epoch-3,Epoch 3,applied,True,Errata text already present.,"In the ""Effect"" section for the doom mark enclosing the coral mark, a sentence should exist that reads ""Replace Blooming Suspicion (CC01) with Permutation (CC02)""."
Epoch 3,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,208,v1.0.0,Added,epoch-3-epoch-3,Epoch 3,applied,True,Appended errata sentence/text.,"In the Effect section for the relic mark, the following sentence should be added:
""Add NZ01-03 to the Night deck, if able."""
Epoch 3,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,208,v1.0.0,Added,epoch-3-epoch-3,Epoch 3,applied,True,Errata text already present.,"In the Effect section for the relic mark, the following sentence should be added:
""Add NZ01-03 to the Night deck, if able."""
Epoch 3,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,208,v1.0.0,Added,epoch-3-epoch-3,Epoch 3,applied,True,Appended errata sentence/text.,"In the Effect section for the schism mark, the following sentence should be added:
""Add JE07 to the Journey deck, if able."""
Epoch 3,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,208,v1.0.0,Added,epoch-3-epoch-3,Epoch 3,applied,True,Errata text already present.,"In the Effect section for the schism mark, the following sentence should be added:
""Add JE07 to the Journey deck, if able."""
Fields,Overlay Reference,210,v1.1.0,Added,,,manual_review,False,No matching record found.,"Field, Active (OF01a, OF02a)
FAQ: Although each action places up to 3 water tokens, there is no limit to the total number of water tokens that can be placed on this overlay over multiple actions."
Maelstrom Hills Setup,Special Regions,214,v1.2.0,Added,advanced-region-rules-advanced-region-rules,Advanced Region Rules,applied,True,Appended errata sentence/text.,"After Step 2, a Step 3 should exist that reads: ""Add JM01-05 to the Journey deck, if able."""
Starlit Sea Setup,Special Regions,216,v1.2.0,Added,advanced-region-rules-advanced-region-rules,Advanced Region Rules,applied,True,Appended errata sentence/text.,"After Step 2, a Step 3 should exist that reads: ""Add JQ01-03 to the Journey deck, if able.""."
TT02,Hex Key,222,v1.0.0,Added,,,manual_review,False,No matching record found.,"For hex TT02, the Zone C features section should read ""Glade (obstructs C1 & C2), Sprawling Roots (crosses C1 & C2)"""
