stable_key,section,subsection,page_start,page_end,source_id_or_name,original_text,corrected_text,errata_applied,errata_source,errata_version_or_date,change_summary,notes
outcomes-018,OUTCOMES,,6,6,018,"By confronting the would-be raiders, you have managed to deescalate the situation without resorting to bloodshed.
Your forbearance this day will be remembered.
Subtract
. Illustrate the saga of the bloodless victory on the primal cave wall, including the mediator mark.","By confronting the would-be raiders, you have managed to deescalate the situation without resorting to bloodshed.
Your forbearance this day will be remembered.
Subtract
. Illustrate the saga of the bloodless victory on the primal cave wall, including the mediator mark.",False,,,,
outcomes-019,OUTCOMES,,6,6,019,"Approaching the corpse, you smell an odor that turns your stomach sour, the aroma only death wears. You must be cautious to avoid the
vileness of this place.
Test
to resist disease. Add +2 if you are lucky and +4 if you have the harrowing mark (i) or the
plague mark (ii). You can discard 1 water to add +4 to this test.
11+
You manage to avoid the infectious material. No effect.
6-10	 You notice a tickle in your throat. Suffer
.
1-5
You begin to cough. Suffer
, then add Pestilence (CZ03) to your looming challenges unless the plague mark is on the primal cave wall.","Approaching the corpse, you smell an odor that turns your stomach sour, the aroma only death wears. You must be cautious to avoid the
vileness of this place.
Test
to resist disease. Add +2 if you are lucky and +4 if you have the harrowing mark (i) or the
plague mark (ii). You can discard 1 water to add +4 to this test.
11+
You manage to avoid the infectious material. No effect.
6-10	 You notice a tickle in your throat. Suffer
.
1-5
You begin to cough. Suffer
, then add Pestilence (CZ03) to your looming challenges unless the plague mark is on the primal cave wall.",False,,,,
outcomes-021,OUTCOMES,,6,6,021,"The vast creature of vegetation rises above the tree line, but in your observations of it, you have come to believe that it is not invulnerable.
In fact, you think your discovery might let you stand on even footing with this mighty behemoth.
Resolve the first you are able:
A) Observing the great herald of the cycle gives you new insights into its nature: If the behemoth has an unrevealed Secret card assigned
to it, reveal this behemoth's currently assigned Secret card, then record it under the Secrets for that behemoth in the Journal.
B) The behemoth's ways are well-known to your people, and as it moves, it sheds root like tendrils filled with sticky pitch that you can harvest:
Gain 2 of this behemoth's curio.","The vast creature of vegetation rises above the tree line, but in your observations of it, you have come to believe that it is not invulnerable.
In fact, you think your discovery might let you stand on even footing with this mighty behemoth.
Resolve the first you are able:
A) Observing the great herald of the cycle gives you new insights into its nature: If the behemoth has an unrevealed Secret card assigned
to it, reveal this behemoth's currently assigned Secret card, then record it under the Secrets for that behemoth in the Journal.
B) The behemoth's ways are well-known to your people, and as it moves, it sheds root like tendrils filled with sticky pitch that you can harvest:
Gain 2 of this behemoth's curio.",False,,,,
outcomes-022,OUTCOMES,,6,7,022,"The behemoth strides toward the seed with the certainty of a gale. It makes contact with the seed, and the color drains from the green tendrils.
Resolve the first you are able:
i
ii

A) Watch the seed grow dim and ashy: If you have the goal Nurture the Seedling, automatically complete it.
B) Try to retrieve the seed: Place the seed on one of the behemoth's apex nodes of your choice. While the seed is on the behemoth board,
Nurture the Seedling cannot be completed. After a character encounters the behemoth and reaches that node, they may place the seed in a hex
of their choice adjacent to the behemoth's hex.
Then, remove this behemoth's aim and all of its trace tokens. Assign it the Return to Slumber (BT20) instinct (replacing its previous instinct).","The behemoth strides toward the seed with the certainty of a gale. It makes contact with the seed, and the color drains from the green tendrils.
Resolve the first you are able:
i
ii

A) Watch the seed grow dim and ashy: If you have the goal Nurture the Seedling, automatically complete it.
B) Try to retrieve the seed: Place the seed on one of the behemoth's apex nodes of your choice. While the seed is on the behemoth board,
Nurture the Seedling cannot be completed. After a character encounters the behemoth and reaches that node, they may place the seed in a hex
of their choice adjacent to the behemoth's hex.
Then, remove this behemoth's aim and all of its trace tokens. Assign it the Return to Slumber (BT20) instinct (replacing its previous instinct).",False,,,,
outcomes-023,OUTCOMES,,7,7,023,"Between the harsh peaks, your people have struggled to find the necessary resources to thrive in the vale. Now, as frosts begin to deepen
autumn into winter, your society comes to a hard decision.
End this challenge.
Add Putting Down Roots (CA02) to your looming challenges.
Then, as a group, the players must choose one of the following paths for your society:
A) Return through the caverns before they are sealed by snows: Add
. Follow the steps on
Rulebook p. 69 to illustrate the saga of the patient wayfarers on the primal cave wall, including the
arrival mark (i), the caution mark (ii), and the mark of your starting region (e.g. the Verdant Vale [iii]
or Skyreach Plateau [iv]). Finally, each character gains one of the following traits of their player's choice: patient or wary.
B) Hunker down for a hard winter: Subtract
. Follow the steps on Rulebook p. 69 to illustrate the saga of the stubborn skies on the primal
cave wall, including the arrival mark (i), the ice mark (v), and the mark of your starting region (e.g. the Verdant Vale [iii] or Skyreach Plateau [iv]).
Finally, each character gains one of the following traits of their player's choice: inquisitive or vengeful.","Between the harsh peaks, your people have struggled to find the necessary resources to thrive in the vale. Now, as frosts begin to deepen
autumn into winter, your society comes to a hard decision.
End this challenge.
Add Putting Down Roots (CA02) to your looming challenges.
Then, as a group, the players must choose one of the following paths for your society:
A) Return through the caverns before they are sealed by snows: Add
. Follow the steps on
Rulebook p. 69 to illustrate the saga of the patient wayfarers on the primal cave wall, including the
arrival mark (i), the caution mark (ii), and the mark of your starting region (e.g. the Verdant Vale [iii]
or Skyreach Plateau [iv]). Finally, each character gains one of the following traits of their player's choice: patient or wary.
B) Hunker down for a hard winter: Subtract
. Follow the steps on Rulebook p. 69 to illustrate the saga of the stubborn skies on the primal
cave wall, including the arrival mark (i), the ice mark (v), and the mark of your starting region (e.g. the Verdant Vale [iii] or Skyreach Plateau [iv]).
Finally, each character gains one of the following traits of their player's choice: inquisitive or vengeful.",False,,,,
outcomes-024,OUTCOMES,,7,7,024,"A dreadful scene fills your mind: great jaws of smoke close about your people. The trees of the valley burn,
and the beasts flee from the terror of flame. Your vision swirls and rises, and now you overlook a vast and
silent valley, covered in deathly ash.
Illustrate the saga of the sky swallowed by ash on the primal cave wall, including the prophecy mark
enclosing the
mark.","A dreadful scene fills your mind: great jaws of smoke close about your people. The trees of the valley burn,
and the beasts flee from the terror of flame. Your vision swirls and rises, and now you overlook a vast and
silent valley, covered in deathly ash.
Illustrate the saga of the sky swallowed by ash on the primal cave wall, including the prophecy mark
enclosing the
mark.",False,,,,
outcomes-025,OUTCOMES,,7,7,025,"Small shoots of green push up through the ashy soil where the behemoth has tread. You wonder...
Resolve the first you are able:
A) ....where could it hail from?: If the Volcanic Wastes mark is not on the primal cave wall,
990.
B) ...how its tread brings both death and flourishing?:
If the behemoth has an unrevealed Secret card assigned to it, reveal this behemoth's currently assigned Secret card, then record it under the
Secrets for that behemoth in the Journal.
C) ....what brought it here?: Place a mystery token in an adjacent, hex without a character, if able.","Small shoots of green push up through the ashy soil where the behemoth has tread. You wonder...
Resolve the first you are able:
A) ....where could it hail from?: If the Volcanic Wastes mark is not on the primal cave wall,
990.
B) ...how its tread brings both death and flourishing?:
If the behemoth has an unrevealed Secret card assigned to it, reveal this behemoth's currently assigned Secret card, then record it under the
Secrets for that behemoth in the Journal.
C) ....what brought it here?: Place a mystery token in an adjacent, hex without a character, if able.",False,,,,
outcomes-028,OUTCOMES,,7,7,028,"You hurl yourself toward the behemoth's craggy brow to deliver a precise, stunning blow to its forehead. The behemoth shudders and
stumbles, its head brushing close to the ground. You leap off safely.
End the encounter. Aggravate the behemoth's demeanor once. Degrade all of its
.
i
iv
iii
ii
v","You hurl yourself toward the behemoth's craggy brow to deliver a precise, stunning blow to its forehead. The behemoth shudders and
stumbles, its head brushing close to the ground. You leap off safely.
End the encounter. Aggravate the behemoth's demeanor once. Degrade all of its
.
i
iv
iii
ii
v",False,,,,
outcomes-029,OUTCOMES,,8,8,029,"The seed of the Tangle lies deep in the root-tunnels. Once again, you stride into the depths to save the Tangle, this time with
a certainty of purpose.
Embark on the venture below (see Ventures on page 60 of the Rulebook).
Within the root-tunnels, the earth seems to press down upon you from all sides and the darkness is oppressive.
Group, Hazard: Everyone must test
to press on. A character adds +2 if they have an item with a
token on it and +2 if they are indomitable.
12+
You march on resolutely. The venture continues.
7-11
Fear sets your eyes twitching at every shadow. Lose
. The venture continues.
1-6
You panic and retreat out of the tunnel. Leave the venture. If all characters receive this result, the venture fails.
You reach the seed-chamber once again and find the colossal orb before you. Its sides are smooth, but you can feel a warmth from within.
You will have to be very careful in excavating it.
Champion: Someone must test
to free the seed. Add +2 if you have
, +2 if you have
, and +2 if you are wise.
11+
You manage to loosen the seed without harming it. The venture continues.
1-10	 The seed stays firmly stuck. The venture fails unless a character spends
or
to attempt this test again.
Now that the seed is free, you must move the massive object out of the tunnels.
Group: Everyone must test
to move the seed. Add +2 if you have Rope and +2 if you are resourceful.
14+
Together, painstakingly, you move the seed from the tunnels. Complete this venture and the associated goal.
1-13	 You are unable to make any progress. The venture fails unless a character spends
or
to attempt this test again.","The seed of the Tangle lies deep in the root-tunnels. Once again, you stride into the depths to save the Tangle, this time with
a certainty of purpose.
Embark on the venture below (see Ventures on page 60 of the Rulebook).
Within the root-tunnels, the earth seems to press down upon you from all sides and the darkness is oppressive.
Group, Hazard: Everyone must test
to press on. A character adds +2 if they have an item with a
token on it and +2 if they are indomitable.
12+
You march on resolutely. The venture continues.
7-11
Fear sets your eyes twitching at every shadow. Lose
. The venture continues.
1-6
You panic and retreat out of the tunnel. Leave the venture. If all characters receive this result, the venture fails.
You reach the seed-chamber once again and find the colossal orb before you. Its sides are smooth, but you can feel a warmth from within.
You will have to be very careful in excavating it.
Champion: Someone must test
to free the seed. Add +2 if you have
, +2 if you have
, and +2 if you are wise.
11+
You manage to loosen the seed without harming it. The venture continues.
1-10	 The seed stays firmly stuck. The venture fails unless a character spends
or
to attempt this test again.
Now that the seed is free, you must move the massive object out of the tunnels.
Group: Everyone must test
to move the seed. Add +2 if you have Rope and +2 if you are resourceful.
14+
Together, painstakingly, you move the seed from the tunnels. Complete this venture and the associated goal.
1-13	 You are unable to make any progress. The venture fails unless a character spends
or
to attempt this test again.",False,,,,Manual review needed for Outcome 029: Instruction requires manual review or source text could not be matched safely.
outcomes-030,OUTCOMES,,8,8,030,"Your outpost is unfinished as great clouds sweep across the sky, harbingers of suffering to come. The trail of stars that lights up the sky seems
pale and distant...
End this challenge. Subtract
and add
.
However, all hope is not lost. Through hard experience, your people have developed new skills that will facilitate surviving in the valley. Your
society gains the following mantle powers: Prey-Stalker (MA01), Secret-Finder (MA02), Friend-Guide (MA03), Safe-Keeper (MA04). Record
these in the Mantle Powers section on the Culture page of the Journal. At the start of each subsequent challenge, players will select one mantle
power for each character based on their mantle, as described in Mantle Powers on page 65 of the Rulebook.
Then, as a group, the players must choose one of the following paths for your society:
A) Continue building as the frosts descend: Subtract
and add
, then build an outpost (without paying costs) in a zone with no
building requirements (if no such zone exists, you cannot select this option). Illustrate the saga of frigid resolve on the primal
cave wall, including
mark and the harrowing mark (i). Add Festival of Remembrance (CA07) to your
looming challenges. At the start of the next challenge, add the following goals: Gather Stores (GA03),
Seek the Omens (GA07), Stoke the Flame (GA08), A Trail of Mysteries (GA11).
B) Abandon the unfinished outpost to follow the starlit path to a new home: Your outpost becomes a ruin (flip the
overlay to it to its inactive side and note on its card that it is a ruin). Illustrate the saga of the horizon's promise on the
primal cave wall, including the arrival mark (ii) and the
mark. Add A Place of Solace (CA03) to your looming
challenges. At the start of the next challenge, add the following goals: Gather Stores (GA03), Seek the Omens (GA07),
Stoke the Flame (GA08), A Trail of Mysteries (GA11).
i
ii","Your outpost is unfinished as great clouds sweep across the sky, harbingers of suffering to come. The trail of stars that lights up the sky seems
pale and distant...
End this challenge. Subtract
and add
.
However, all hope is not lost. Through hard experience, your people have developed new skills that will facilitate surviving in the valley. Your
society gains the following mantle powers: Prey-Stalker (MA01), Secret-Finder (MA02), Friend-Guide (MA03), Safe-Keeper (MA04). Record
these in the Mantle Powers section on the Culture page of the Journal. At the start of each subsequent challenge, players will select one mantle
power for each character based on their mantle, as described in Mantle Powers on page 65 of the Rulebook.
Then, as a group, the players must choose one of the following paths for your society:
A) Continue building as the frosts descend: Subtract
and add
, then build an outpost (without paying costs) in a zone with no
building requirements (if no such zone exists, you cannot select this option). Illustrate the saga of frigid resolve on the primal
cave wall, including
mark and the harrowing mark (i). Add Festival of Remembrance (CA07) to your
looming challenges. At the start of the next challenge, add the following goals: Gather Stores (GA03),
Seek the Omens (GA07), Stoke the Flame (GA08), A Trail of Mysteries (GA11).
B) Abandon the unfinished outpost to follow the starlit path to a new home: Your outpost becomes a ruin (flip the
overlay to it to its inactive side and note on its card that it is a ruin). Illustrate the saga of the horizon's promise on the
primal cave wall, including the arrival mark (ii) and the
mark. Add A Place of Solace (CA03) to your looming
challenges. At the start of the next challenge, add the following goals: Gather Stores (GA03), Seek the Omens (GA07),
Stoke the Flame (GA08), A Trail of Mysteries (GA11).
i
ii",False,,,,
outcomes-031,OUTCOMES,,9,9,031,"The behemoth looks at you expectantly for an offering, and you find yourself rifling through your pack for an adequate gift...
Choose one and resolve it:
A) Give the behemoth an offering: If you have 2 or more resources in your inventory, discard any 2 resources to placate the behemoth's
demeanor by 1. Then continue the encounter.
B) Offer nothing: Aggravate the behemoth's demeanor by 1. Then continue the encounter.","The behemoth looks at you expectantly for an offering, and you find yourself rifling through your pack for an adequate gift...
Choose one and resolve it:
A) Give the behemoth an offering: If you have 2 or more resources in your inventory, discard any 2 resources to placate the behemoth's
demeanor by 1. Then continue the encounter.
B) Offer nothing: Aggravate the behemoth's demeanor by 1. Then continue the encounter.",False,,,,
outcomes-034,OUTCOMES,,9,9,034,"The glowing mushroom spores fill your vision with dancing images of the moon, waxing and waning at a fever pitch. You remember stumbling
in darkness and a fall. When you come to your senses, the moon greets you in the afternoon sky above, and your head throbs in tune with the
last vestiges the vanishing omen.
End this delve action. Gain 1 of the rewards you claimed during your delve, then return the rest to the supply. Add
. Then, place your
character in a randomly selected hex in the region where you started delving, selecting an unexplored hex if able. Unless you discard 1 water,
lose
from dehydration and the pounding in your head.","The glowing mushroom spores fill your vision with dancing images of the moon, waxing and waning at a fever pitch. You remember stumbling
in darkness and a fall. When you come to your senses, the moon greets you in the afternoon sky above, and your head throbs in tune with the
last vestiges the vanishing omen.
End this delve action. Gain 1 of the rewards you claimed during your delve, then return the rest to the supply. Add
. Then, place your
character in a randomly selected hex in the region where you started delving, selecting an unexplored hex if able. Unless you discard 1 water,
lose
from dehydration and the pounding in your head.",False,,,,
outcomes-035,OUTCOMES,,9,9,035,"Brushing aside the white dust, you find an ancient, fossilized bank of what you believe to be coral.
If all coral overgrowth overlays have been placed, remove one of your choice from the valley. Then place an inactive coral overgrowth in your
current hex. Add Meeting the Ineffable Mind (GC11) to your goals.","Brushing aside the white dust, you find an ancient, fossilized bank of what you believe to be coral.
If all coral overgrowth overlays have been placed, remove one of your choice from the valley. Then place an inactive coral overgrowth in your
current hex. Add Meeting the Ineffable Mind (GC11) to your goals.",False,,,,
outcomes-037,OUTCOMES,,9,9,037,"The prophet's words bubble up through back channels and reach you: their adherents say the prophet is marked by the sky wanderer. The
comet, the adherents whisper reverently, will arrive in a great column of glorious light, and will create a new world in the image the prophet
has foreseen. To prepare, groups of adherents seek rare treasures to entreat the wanderer to arrive with greatest haste!
Add Seek the Comet's Sign (GC03) to your goals.","The prophet's words bubble up through back channels and reach you: their adherents say the prophet is marked by the sky wanderer. The
comet, the adherents whisper reverently, will arrive in a great column of glorious light, and will create a new world in the image the prophet
has foreseen. To prepare, groups of adherents seek rare treasures to entreat the wanderer to arrive with greatest haste!
Add Seek the Comet's Sign (GC03) to your goals.",False,,,,
outcomes-039,OUTCOMES,,9,9,039,"It begins with a roar as the heavens ignite above you. The air shudders and the sky breaks.
Add The Sky Descends (CC04) to your looming challenges.","It begins with a roar as the heavens ignite above you. The air shudders and the sky breaks.
Add The Sky Descends (CC04) to your looming challenges.",False,,,,
outcomes-045,OUTCOMES,,9,9,045,"Your people sweat blood and break their backs to reshape the land, but the land refuses to be molded. Where you clear trees, seedlings
sprout resolutely. Your stores of seeds rot waiting for places to plant them. Eventually, your people abandon the project, returning to surer
ways of surviving.
Add
. Illustrate the saga of the wilted harvest on the primal cave wall, including the
broken earth mark (i) and the herbalism mark (ii).","Your people sweat blood and break their backs to reshape the land, but the land refuses to be molded. Where you clear trees, seedlings
sprout resolutely. Your stores of seeds rot waiting for places to plant them. Eventually, your people abandon the project, returning to surer
ways of surviving.
Add
. Illustrate the saga of the wilted harvest on the primal cave wall, including the
broken earth mark (i) and the herbalism mark (ii).",False,,,,
